Station_Name,Month,Mean_temperature_in_degree_C_Maximum,Mean_temperature_in_degree_C_Minimum,Mean_Rainfall_in_mm
Abu,January,19.3,8,5.3
Abu,February,21,10,4.4
Abu,March,25.3,14.5,6.5
Abu,April,29.4,18.7,2.6
Abu,May,31.5,21,16.4
Abu,June,29.1,19.8,101.6
Abu,July,24.5,18.7,573.2
Abu,August,22.7,17.8,600.3
Abu,September,24.5,17.6,214.2
Abu,October,26.7,16.2,19.4
Abu,November,23.8,12.1,7.9
Abu,December,20.9,9,2.4
Agartala (A),January,25.6,10,27.5
Agartala (A),February,28.3,13.2,21.5
Agartala (A),March,32.5,18.7,60.7
Agartala (A),April,33.7,22.2,199.7
Agartala (A),May,32.8,23.5,329.9
Agartala (A),June,31.8,24.6,393.4
Agartala (A),July,31.4,24.8,363.1
Agartala (A),August,31.7,24.7,298.7
Agartala (A),September,31.7,24.3,232.4
Agartala (A),October,31.1,22,162.5
Agartala (A),November,29.2,16.6,46
Agartala (A),December,26.4,11.3,10.6
Agra,January,22.3,7.7,13.2
Agra,February,25.5,10.3,17.6
Agra,March,31.9,15.5,9.3
Agra,April,37.9,21.5,6.3
Agra,May,41.7,26.5,11.3
Agra,June,40.7,28.9,55.7
Agra,July,35.3,26.8,203.3
Agra,August,33.2,25.7,243.2
Agra,September,34,24.3,129.7
Agra,October,34,19.1,24.8
Agra,November,29.2,12.5,4.3
Agra,December,23.9,8.2,6.1
Ahmedabad,January,28.7,13.1,2.1
Ahmedabad,February,31,14.8,1.2
Ahmedabad,March,35.9,19.4,1.1
Ahmedabad,April,39.5,23.5,1.9
Ahmedabad,May,41.4,26.3,9.1
Ahmedabad,June,38.5,27.2,97.4
Ahmedabad,July,33.5,25.7,309.8
Ahmedabad,August,32,24.9,213.8
Ahmedabad,September,33.5,24.4,126.6
Ahmedabad,October,35.8,21.9,13.5
Ahmedabad,November,33.2,17.5,6.1
Ahmedabad,December,29.9,14.1,1.7
Aijal/Aizwal,January,20.4,11.4,13.4
Aijal/Aizwal,February,21.7,12.8,23.4
Aijal/Aizwal,March,25.2,15.6,73.4
Aijal/Aizwal,April,26.8,17.5,167.7
Aijal/Aizwal,May,26.3,18.1,289
Aijal/Aizwal,June,25.5,18.9,406.1
Aijal/Aizwal,July,25.3,19.1,320.4
Aijal/Aizwal,August,25.5,19.1,320.6
Aijal/Aizwal,September,25.7,19.2,305.2
Aijal/Aizwal,October,24.7,18,183.7
Aijal/Aizwal,November,23,15.1,43.2
Aijal/Aizwal,December,21,12.2,15.3
Ajmer,January,22.9,7.6,7.3
Ajmer,February,25.7,10.3,6
Ajmer,March,31.3,16,5
Ajmer,April,36.5,22.2,4
Ajmer,May,39.7,26.8,15.7
Ajmer,June,38.4,27.5,58.1
Ajmer,July,33.6,25.6,181.5
Ajmer,August,31.3,24.4,157.5
Ajmer,September,32.6,23.7,73
Ajmer,October,33.5,18.8,13.1
Ajmer,November,29.2,12.3,4
Ajmer,December,24.7,8.4,3.8
Akola (A),January,29.9,13.1,10.4
Akola (A),February,32.8,15.4,8.1
Akola (A),March,37.3,19.7,10
Akola (A),April,40.9,24.2,4.1
Akola (A),May,42.5,27.3,9.8
Akola (A),June,37.6,25.5,144.9
Akola (A),July,32.4,23.5,217.2
Akola (A),August,30.6,23,196.6
Akola (A),September,32.5,22.5,122.7
Akola (A),October,34.1,19.7,47.7
Akola (A),November,31.7,15.6,18.7
Akola (A),December,29.5,12.4,12.1
Allahabad,January,23.5,8.9,17.9
Allahabad,February,26.7,11.4,17.3
Allahabad,March,33.4,16.6,9.6
Allahabad,April,39.1,22.3,5.5
Allahabad,May,41.8,26.7,8.8
Allahabad,June,39.8,28.5,88.8
Allahabad,July,34,26.6,280.9
Allahabad,August,32.5,25.9,296.1
Allahabad,September,33,25,185
Allahabad,October,33,20.2,36.6
Allahabad,November,29.2,13.5,9.3
Allahabad,December,24.6,9.4,7
Ambikapur,January,23.5,8.7,22.6
Ambikapur,February,26.8,11.3,22.5
Ambikapur,March,32,15.6,18.4
Ambikapur,April,36.8,20.8,13
Ambikapur,May,39.4,24.7,19.4
Ambikapur,June,35.5,24.8,211.2
Ambikapur,July,29.7,23.2,428.3
Ambikapur,August,29.3,22.9,389.8
Ambikapur,September,29.8,22.1,227.2
Ambikapur,October,29.5,18.1,56.8
Ambikapur,November,26.5,12.2,9.7
Ambikapur,December,23.8,8.5,6.5
Amini Divi,January,31.2,23.6,15.9
Amini Divi,February,31.7,24.5,2.9
Amini Divi,March,32.5,25.3,3.8
Amini Divi,April,33.3,26.7,22.6
Amini Divi,May,33,27.1,131.1
Amini Divi,June,30.4,25.7,371.1
Amini Divi,July,29.6,25.3,314.5
Amini Divi,August,29.6,25.3,214
Amini Divi,September,30,25.3,149.9
Amini Divi,October,30.5,25.1,139.2
Amini Divi,November,31,24.5,88.6
Amini Divi,December,31.1,23.7,38.5
Amritsar (Rajasansi),January,19.2,3.9,28.3
Amritsar (Rajasansi),February,21.9,6.3,29.2
Amritsar (Rajasansi),March,26.9,11,34.8
Amritsar (Rajasansi),April,33.9,16.2,19.3
Amritsar (Rajasansi),May,38.8,21.2,19.6
Amritsar (Rajasansi),June,39.8,24.9,51.7
Amritsar (Rajasansi),July,35.3,25.6,224.7
Amritsar (Rajasansi),August,34.3,25.2,174.5
Amritsar (Rajasansi),September,34.4,22.7,94.6
Amritsar (Rajasansi),October,32.3,15.7,21.3
Amritsar (Rajasansi),November,27,8.6,5.7
Amritsar (Rajasansi),December,21.3,4.3,14.6
Anantpur,January,30.4,17.4,0.9
Anantpur,February,33.7,19.3,1.3
Anantpur,March,37.1,22.4,4.7
Anantpur,April,38.9,25.8,16.9
Anantpur,May,38.8,26.2,55
Anantpur,June,35.4,25,55.8
Anantpur,July,33.3,24.2,62.7
Anantpur,August,32.8,23.8,75.3
Anantpur,September,32.8,23.4,133.2
Anantpur,October,31.8,22.5,104.7
Anantpur,November,30.1,20.1,37.8
Anantpur,December,29.1,17.7,11.2
Androth,January,30.3,24.4,10.5
Androth,February,30.9,24.8,2.4
Androth,March,32.2,25.5,6
Androth,April,33.1,26.3,25.9
Androth,May,32.8,26.4,130.4
Androth,June,30.5,24.9,401.7
Androth,July,29.9,24.3,486.1
Androth,August,30.1,24.9,238.6
Androth,September,30,24.7,182.2
Androth,October,30.5,24.7,166.5
Androth,November,30.4,24.1,129.8
Androth,December,30.7,24,90.2
Aurangabad,January,29,11,11.3
Aurangabad,February,31.7,13,2.7
Aurangabad,March,35.6,17.6,5.6
Aurangabad,April,38.5,21.9,3.9
Aurangabad,May,39.5,23.9,26.2
Aurangabad,June,34.7,22.9,132.2
Aurangabad,July,30.3,21.7,157.9
Aurangabad,August,29.2,21.1,152.7
Aurangabad,September,30.3,20.6,146
Aurangabad,October,31.8,18,62.1
Aurangabad,November,30,13.7,26.8
Aurangabad,December,28.4,10.7,12
Balasore,January,27,13.9,17
Balasore,February,29.5,16.7,36.3
Balasore,March,33.7,21,39.4
Balasore,April,36,24.4,54.8
Balasore,May,36.1,26,108.6
Balasore,June,34.2,26.2,233.4
Balasore,July,31.8,25.8,297.9
Balasore,August,31.4,25.8,318.3
Balasore,September,31.7,25.5,275.8
Balasore,October,31.3,23,184
Balasore,November,29.2,17.8,41.6
Balasore,December,26.9,13.7,6.5
Bangalore,January,27.4,15,4.9
Bangalore,February,30.1,16.6,7.9
Bangalore,March,32.8,19,10
Bangalore,April,33.9,21.3,43.9
Bangalore,May,33.1,21.1,111.9
Bangalore,June,29.4,19.8,79.7
Bangalore,July,27.7,19.3,109.7
Bangalore,August,27.6,19.2,138.8
Bangalore,September,28.1,19.1,185.9
Bangalore,October,27.9,18.9,161.7
Bangalore,November,26.8,17.2,59.2
Bangalore,December,26.2,15.4,17.4
Bareilly,January,21.6,8.3,22.9
Bareilly,February,24,10.4,25.3
Bareilly,March,30.6,15.2,14.5
Bareilly,April,36.8,20.9,8.9
Bareilly,May,39.9,25.1,19.3
Bareilly,June,38.6,27,106.4
Bareilly,July,33.9,26.1,307
Bareilly,August,32.6,25.8,290.9
Bareilly,September,33,24.4,186.1
Bareilly,October,32.3,19.3,44.9
Bareilly,November,28,12.7,3.9
Bareilly,December,23.2,8.8,9.7
Baroda (A),January,29.5,12.5,2.2
Baroda (A),February,31.9,14.2,0.7
Baroda (A),March,36.2,18.4,0.7
Baroda (A),April,39.2,23,1.4
Baroda (A),May,40.1,26.6,6.1
Baroda (A),June,36.8,27,118.9
Baroda (A),July,32.5,25.8,274.6
Baroda (A),August,31.4,25,242.4
Baroda (A),September,33,24.5,124.2
Baroda (A),October,35.5,21.4,26.4
Baroda (A),November,33.4,16.9,13.3
Baroda (A),December,30.7,13.7,3.7
Belgaum Samra,January,29.2,14.6,1.1
Belgaum Samra,February,31.7,15.7,2.1
Belgaum Samra,March,34.6,18.5,10.6
Belgaum Samra,April,35.8,20.4,45.1
Belgaum Samra,May,34.3,21,89.8
Belgaum Samra,June,28.7,20.9,166.1
Belgaum Samra,July,25.8,20.4,268.9
Belgaum Samra,August,25.7,20.1,157.4
Belgaum Samra,September,27.6,19.5,109.3
Belgaum Samra,October,29.2,19.1,124.9
Belgaum Samra,November,28.6,16.9,34.2
Belgaum Samra,December,28.2,15.2,5.6
Bhagalpur,January,24.2,11.6,18.2
Bhagalpur,February,27.2,13.9,11.4
Bhagalpur,March,33.1,18.9,10.3
